Name,ASCII Name,Alternate Names,Latitude,Longitude,Feature Class,Feature Code,Country Code,Country Code 2,Admin1 Code,Admin2 Code,Admin3 Code,Admin4 Code,Population,Elevation,DIgital Elevation Model,Timezone,Modification date,Country
Porsa,Porsa,"Porsa,Порса",26.67444,78.37081,P,PPL,IN,,35,419,,,37824,,170,Asia/Kolkata,07-08-2015,India
Ponnampet,Ponnampet,Ponnampet,12.14473,75.94514,P,PPL,IN,,19,576,,,6117,,858,Asia/Kolkata,05-12-2015,India
Pithora,Pithora,Pithora,21.25021,82.51707,P,PPL,IN,,37,411,,,7592,,301,Asia/Kolkata,14-10-2014,India
Pātuli,Patuli,"Patuli,Pātuli",23.55286,88.26473,P,PPL,IN,,28,335,,,4694,,18,Asia/Kolkata,14-10-2014,India
Pātan,Patan,"Patan,Pātan,Патан",21.03333,81.53333,P,PPL,IN,,37,409,,,9332,,300,Asia/Kolkata,14-10-2014,India
Pāsighāt,Pasighat,"IXT,Pasighat,Pāsighāt",28.06631,95.32678,P,PPL,IN,,30,251,,,25581,,179,Asia/Kolkata,18-03-2017,India
Pāliyād,Paliyad,"Paliad,Paliyad,Pāliyād",22.25757,71.56024,P,PPL,IN,,9,481,,,10862,,115,Asia/Kolkata,10-06-2020,India
Padampur,Padampur,"Padampur,Podampur",20.99932,83.06325,P,PPL,IN,,21,370,,,16387,,200,Asia/Kolkata,06-09-2015,India
Padam,Padam,Padam,33.46659,76.88488,P,PPL,IN,,41,4,,,25000,,3560,Asia/Kolkata,18-10-2019,India
Needamangalam,Needamangalam,"Nidamangalam,Nīdāmāngalam",10.77378,79.41875,P,PPL,IN,,25,619,,,9125,,21,Asia/Kolkata,14-10-2014,India
Navalgund,Navalgund,Navalgund,15.55877,75.35305,P,PPL,IN,,19,562,,,23208,,585,Asia/Kolkata,14-10-2014,India
Nashik,Nashik,"ISK,Nashik,Nasik,Nasikas,Nasiko,Naszik,Našikas,Nászik,na xi ke,nacik,nashiku,nashk,nasik,nasika,nasikeu,nask,nasyk,Насик,Нашик,Нашік,ناسک,ناسیک,ناشک,नाशिक,नाशीक,नासिक,নাশিক,ਨਾਸ਼ਿਕ,નાસિક,ନାଶିକ,நாசிக்,నాసిక్,ನಾಸಿಕ್,ნაშიკი,ナーシク,纳西克,나시크",19.99727,73.79096,P,PPLA2,IN,,16,516,,,1289497,,584,Asia/Kolkata,13-10-2014,India
Nāgothana,Nagothana,"Nagothana,Nagothna,Nāgothana",18.54225,73.13493,P,PPL,IN,,16,520,,,10866,,15,Asia/Kolkata,10-06-2020,India
Nāgireddipalli,Nagireddipalli,"Nagireddipalle,Nagireddipalli,Nāgireddipalli",14.27005,79.10131,P,PPL,IN,,2,551,,,10392,,150,Asia/Kolkata,10-06-2020,India
Murshidābād,Murshidabad,"Murshidabad,Murshidābād,Муршидабад",24.1839,88.27171,P,PPL,IN,,28,333,,,39557,,25,Asia/Kolkata,14-10-2014,India
Mūl,Mul,"Mul,Mūl",20.06987,79.67826,P,PPL,IN,,16,509,,,23984,,196,Asia/Kolkata,07-08-2015,India
Moth,Moth,Moth,25.72595,78.95029,P,PPL,IN,,36,166,,,14077,,179,Asia/Kolkata,07-08-2015,India
Morbi,Morbi,"Morbi,Morvi",22.81731,70.8377,P,PPLA2,IN,,9,673,,,118022,,53,Asia/Kolkata,28-05-2018,India
Modāsa,Modasa,"Modasa,Modassa,Modāsa",23.46253,73.29857,P,PPLA2,IN,,9,672,,,58970,,147,Asia/Kolkata,28-05-2018,India
Mau Aimma,Mau Aimma,"Mau Aima,Mau Aimma",25.69515,81.92336,P,PPL,IN,,36,175,,,20123,,103,Asia/Kolkata,06-09-2015,India
Mataundh,Mataundh,Mataundh,25.43594,80.15653,P,PPL,IN,,36,170,,,8591,,145,Asia/Kolkata,07-08-2015,India
Masinigudi,Masinigudi,"Masinigudi,Masnigudi",11.56831,76.64087,P,PPL,IN,,25,611,,,9642,,946,Asia/Kolkata,04-02-2017,India
Margherita,Margherita,Margherita,27.28482,95.66796,P,PPL,IN,,30,,,,24428,,153,Asia/Kolkata,06-10-2012,India
